1,lamp shade,joke,false,0.5,0.57,0.59,0.51,0.69,0.98,9,16,false
2,spring,material,false,0.89,0.38,0.51,0.74,0.24,0.17,3,10,false
3,pants,luxery,true,0.17,0.74,0.64,0.41,0.53,0.06,3,7,false
4,potato,food,false,0.23,0.54,0.6,0.26,0.56,0.16,7,11,false
5,soda,food,true,0.5,0.3,0.57,0.27,0.37,0.51,10,18,false
6,boogie,entertainment,false,0.21,0.79,0.01,0.85,0.82,0.09,10,14,false
7,sax,instrument,false,0.61,0.8,0.11,0.81,0.99,0.99,10,17,false
8,waldo,people,false,0.54,0.11,0.01,0.77,0.59,0.66,5,11,false
9,picnic,food,true,0.3,0.51,0.88,0.19,0.71,0.21,9,14,false
10,statue,luxery,true,0.96,0.28,0.39,0.43,0.03,0.63,3,10,false
11,trope,joke,false,0.69,0.37,0.07,0.4,0.87,0.1,4,9,false
12,tofu,joke,false,0.79,0.4,0.2,0.91,0.15,0.81,5,12,false
13,lint,odd,false,0.91,0.67,0.63,0.83,0.42,0.73,4,10,false
14,copycat,nuisance,false,0.47,0.9,0.17,0.06,0.62,0.32,9,13,false
15,codec,tool,false,0.69,0.57,0.97,0.31,0.54,0.47,7,10,false
16,fish,food,false,0.72,0.6,0.74,0.19,0.93,0.36,3,7,false
17,robot,nuisance,true,0.33,0.52,0.79,0.81,0.18,0.84,4,9,false
18,armor,equipment,true,0.1,0.11,0.17,0.16,0.39,0.89,6,14,false
19,shoes,clothes,false,0.58,0.75,0.23,0.51,0.45,0.47,9,14,false
20,fire,necessity,true,0.93,0.97,0.14,0.23,0.33,0.41,8,11,false
21,synthesizer,instrument,false,0.86,0.31,0.79,0.27,0.99,0.97,3,8,false
22,boat,luxery,true,0.73,0.11,0.53,0.0,0.31,0.27,9,14,false
23,raptor,nuisance,false,0.52,0.88,0.29,0.08,0.84,0.79,4,12,false
24,genome,science,true,0.36,0.02,0.0,0.46,0.36,0.23,7,11,false
25,spaghetti,food,false,0.17,0.27,0.3,0.18,0.13,0.45,5,12,false
26,self-esteem,joke,false,0.53,0.5,0.14,0.63,0.02,0.78,8,14,false
27,virus,science,true,0.02,0.88,0.39,0.28,0.6,0.2,3,10,false
28,cake,food,true,0.98,0.44,0.36,0.03,0.52,0.68,3,7,false
29,STD,adult,false,0.94,0.28,0.21,0.31,0.87,0.16,5,10,true
30,sword,equipment,true,0.81,0.47,0.89,0.01,0.5,0.13,8,11,false
31,junk,luxery,false,0.3,0.74,0.59,0.18,0.52,0.28,4,11,false
